t_name	FPKM	H3K27ac	H3K27me3	H3K4me1	H3K4me3	H3K9ac
FBtr0078881	0.0	-1.8234299999999999	-5.40445	10.7507	-0.973915	-0.10076
FBtr0078880	0.0	-3.56486	-2.62062	4.47987	-0.701159	-0.08408639999999999
FBtr0334902	0.0	0.945425	-1.1895	-0.597755	0.7128220000000001	-0.0259214
FBtr0334903	0.0	0.945425	-1.1895	-0.597755	0.7128220000000001	-0.0259214
FBtr0344029	0.0	0.945425	-1.1895	-0.597755	0.7128220000000001	-0.0259214
FBtr0301437	0.0	-0.42428599999999994	-3.2486	-1.6889299999999998	-0.021017599999999997	-0.0325002
FBtr0303912	0.0	-0.42428599999999994	-3.2486	-1.6889299999999998	-0.021017599999999997	-0.0325002
FBtr0303915	0.0	-0.42428599999999994	-3.2486	-1.6889299999999998	-0.021017599999999997	-0.0325002
FBtr0344028	0.0	-0.42428599999999994	-3.2486	-1.6889299999999998	-0.021017599999999997	-0.0325002
FBtr0303911	0.0	-0.42428599999999994	-3.2486	-1.6889299999999998	-0.021017599999999997	-0.0325002
FBtr0303914	0.0	-0.42428599999999994	-3.2486	-1.6889299999999998	-0.021017599999999997	-0.0325002
FBtr0303917	0.0	-0.42428599999999994	-3.2486	-1.6889299999999998	-0.021017599999999997	-0.0325002
FBtr0344030	67.486526	-0.42428599999999994	-3.2486	-1.6889299999999998	-0.021017599999999997	-0.0325002
FBtr0078876	7.21215	-4.88741	-4.81838	-4.86108	2.0851599999999997	-0.107403
FBtr0334904	0.0	-4.88741	-4.81838	-4.86108	2.0851599999999997	-0.107403
FBtr0345175	7.836758000000001	25.9047	-8.5676	-3.63414	32.1724	-0.087622
FBtr0078870	11.918352	2.4607799999999997	-7.70578	0.481281	8.23799	-0.0888218
FBtr0078871	0.0	2.4607799999999997	-7.70578	0.481281	8.23799	-0.0888218
FBtr0345174	1.8578689999999998	3.6855800000000003	-11.3277	6.28032	8.422930000000001	-0.131681
FBtr0078872	0.0	0.388941	-7.59425	-2.61095	-1.7167400000000002	-0.104896
FBtr0334900	9.707732	-0.447607	-0.573443	-0.175983	1.51473	-0.059739
FBtr0334901	0.0	1.27194	-2.12812	-1.40143	3.5643199999999995	-0.0434761
FBtr0078875	11.963755	1.9155900000000001	-2.99265	-0.943627	2.58819	-0.0501274
FBtr0078874	0.0	-3.68486	32.7834	3.3269900000000003	-2.32712	-0.09148200000000001
FBtr0078873	0.0	-5.27299	19.6718	2.11672	-1.95258	-0.08336589999999999
FBtr0078836	0.0	-6.78604	53.8099	23.9498	0.598391	-0.160313
FBtr0078852	0.0	0.0777435	43.2346	4.52807	-2.47506	-0.0833693
FBtr0345252	0.0	0.0777435	43.2346	4.52807	-2.47506	-0.0833693
FBtr0346254	0.0	-2.5467	22.4036	-1.7823900000000001	-1.7323	-0.0733941
FBtr0078837	64.113342	2.06871	-3.3871599999999997	5.5224400000000005	14.6114	-0.0625406
FBtr0100159	5.557612000000001	2.06871	-3.3871599999999997	5.5224400000000005	14.6114	-0.0625406
FBtr0336810	0.0	10.1282	-6.068969999999999	2.2795900000000002	9.89502	-0.108635
FBtr0336812	0.0	10.1282	-6.068969999999999	2.2795900000000002	9.89502	-0.108635
FBtr0336809	0.0	10.1282	-6.068969999999999	2.2795900000000002	9.89502	-0.108635
FBtr0336811	0.0	10.1282	-6.068969999999999	2.2795900000000002	9.89502	-0.108635
FBtr0345154	0.0	-4.11584	-5.1310400000000005	-5.50716	-3.28535	-0.07861810000000001
FBtr0078851	0.0	2.16973	-2.37963	-1.07732	1.03893	-0.0384522
FBtr0078849	26.992437	3.2099	-5.5473099999999995	-4.05127	1.1178700000000001	-0.057228499999999995
FBtr0306106	51.195812	4.2015	-6.3596699999999995	-1.3446200000000001	0.149374	-0.0752159
FBtr0078848	0.0	-2.67965	1.68905	-1.8824299999999998	1.77787	-0.08186289999999999
FBtr0305965	0.0	-2.67965	1.68905	-1.8824299999999998	1.77787	-0.08186289999999999
FBtr0078847	0.0	-1.0299399999999999	-1.12745	-2.4441599999999997	-0.79461	-0.13663
FBtr0305963	0.0	-1.0299399999999999	-1.12745	-2.4441599999999997	-0.79461	-0.13663
FBtr0305964	0.0	-1.0299399999999999	-1.12745	-2.4441599999999997	-0.79461	-0.13663
FBtr0335404	0.0	-1.0299399999999999	-1.12745	-2.4441599999999997	-0.79461	-0.13663
FBtr0078841	0.0	-0.884131	0.417281	-2.81086	-3.37088	-0.112772
FBtr0078846	0.0	-2.39872	-0.748871	-1.65356	-1.0398399999999999	-0.0784472
FBtr0309311	0.0	-2.19869	-0.259436	-0.872755	-2.30247	-0.0778895
FBtr0308777	0.0	-1.23166	-3.6871699999999996	-1.39367	-2.75826	-0.07003200000000001
